file_id,section_id,local_readme_file,heading_markdown,section_code
1,1,2dust.v2rayNG.md,# v2rayNG,"1,6"
1,2,2dust.v2rayNG.md,### Telegram Channel,"-,6"
1,3,2dust.v2rayNG.md,### Usage,3
1,4,2dust.v2rayNG.md,#### Geoip and Geosite,3
1,5,2dust.v2rayNG.md,### More in our [wiki](https://github.com/2dust/v2rayNG/wiki),"-,1,6"
1,6,2dust.v2rayNG.md,### Development guide,"3,6"
2,1,ACRA.acra.md,# What is ACRA ?,1
2,2,ACRA.acra.md,# Latest version,4
2,3,ACRA.acra.md,# Backends,6
3,1,afollestad.material-dialogs.md,# Material Dialogs,1
3,2,afollestad.material-dialogs.md,#### [View Releases and Changelogs](https://github.com/afollestad/material-dialogs/releases),"-,1"
3,3,afollestad.material-dialogs.md,## ,-
3,4,afollestad.material-dialogs.md,# Modules,"1,4"
3,5,afollestad.material-dialogs.md,## Core,"1,6"
3,6,afollestad.material-dialogs.md,#### [Core Tutorial and Samples](documentation/CORE.md),3
3,7,afollestad.material-dialogs.md,## Input,3
3,8,afollestad.material-dialogs.md,#### [Input Tutorial and Samples](documentation/INPUT.md),3
3,9,afollestad.material-dialogs.md,## Files,3
3,10,afollestad.material-dialogs.md,#### [Files Tutorial and Samples](documentation/FILES.md),3
3,11,afollestad.material-dialogs.md,## Color,"3,6"
3,12,afollestad.material-dialogs.md,#### [Color Tutorial and Samples](documentation/COLOR.md),3
3,13,afollestad.material-dialogs.md,## DateTime,"-,3"
3,14,afollestad.material-dialogs.md,#### [DateTime Tutorial and Samples](documentation/DATETIME.md),3
3,15,afollestad.material-dialogs.md,## Bottom Sheets,"-,1,6"
3,16,afollestad.material-dialogs.md,#### [Bottom Sheets Tutorial and Samples](documentation/BOTTOMSHEETS.md),3
3,17,afollestad.material-dialogs.md,## Lifecycle,-
3,18,afollestad.material-dialogs.md,#### [Lifecycle Tutorial and Samples](documentation/LIFECYCLE.md),3
4,1,agrosner.DBFlow.md,# README,1
4,2,agrosner.DBFlow.md,## Changelog,4
4,3,agrosner.DBFlow.md,## Usage Docs,"3,6"
4,4,agrosner.DBFlow.md,## Including in your project,3
4,5,agrosner.DBFlow.md,## Pull Requests,7
4,6,agrosner.DBFlow.md,## Maintainer,5
5,1,airbnb.mavericks.md,# Mavericks (formerly MvRx): Android on Autopilot,1
5,2,airbnb.mavericks.md,"## For full documentation, check out our [docs site](https://airbnb.io/mavericks).",3
5,3,airbnb.mavericks.md,## Installation,3
5,4,airbnb.mavericks.md,"## For full documentation, check out the [docs site](https://airbnb.io/mavericks)",6
6,1,alibaba.p3c.md,# P3C,4
6,2,alibaba.p3c.md,"## <font color=""green"">Preface</font>","1,6"
6,3,alibaba.p3c.md,"## <font color=""green"">Introduction</font>",1
6,4,alibaba.p3c.md,"## <font color=""green"">Rules</font>",3
7,1,android.architecture-components-samples.md,# Android Architecture Components samples,"1,6"
7,2,android.architecture-components-samples.md,### Samples,1
7,3,android.architecture-components-samples.md,### Reporting Issues,6
7,4,android.architecture-components-samples.md,## License,5
8,1,android.architecture-samples.md,# Android Architecture Blueprints,1
8,2,android.architecture-samples.md,## Variations,"1,3"
8,3,android.architecture-samples.md,### Stable samples - Kotlin,"1,6"
8,4,android.architecture-samples.md,## Screenshots,"3,8"
8,5,android.architecture-samples.md,## Why a to-do app?,1
8,6,android.architecture-samples.md,## What is it not?,"1,6"
8,7,android.architecture-samples.md,## Who is it for?,
8,8,android.architecture-samples.md,## Opening a sample in Android Studio,3
8,9,android.architecture-samples.md,### License,5
9,1,android.camera-samples.md,# Camera Samples Repository,1
9,2,android.camera-samples.md,## Samples,
10,1,android.compose-samples.md,# Jetpack Compose Samples,1
10,2,android.compose-samples.md,## 💻 Requirements,3
10,3,android.compose-samples.md,## 🧬 Samples,1
10,4,android.compose-samples.md,## 🧬 Additional samples,1
10,5,android.compose-samples.md,## High level features ,"1,6"
10,6,android.compose-samples.md,### Custom Layouts,1
10,7,android.compose-samples.md,### Theming,"1,3"
10,8,android.compose-samples.md,### Animations,-
10,9,android.compose-samples.md,### Text,"3,6"
10,10,android.compose-samples.md,### Large Screens,-
10,11,android.compose-samples.md,## Formatting,3
10,12,android.compose-samples.md,## Updates,3
10,13,android.compose-samples.md,## License,5
11,1,android.nowinandroid.md,# Now in Android App,1
11,2,android.nowinandroid.md,# Features,"1,6"
11,3,android.nowinandroid.md,## Screenshots,"3,8"
11,4,android.nowinandroid.md,# Development Environment,3
11,5,android.nowinandroid.md,# Architecture,1
11,6,android.nowinandroid.md,# Modularization,1
11,7,android.nowinandroid.md,# Build,"1,3"
11,8,android.nowinandroid.md,# Testing,3
11,9,android.nowinandroid.md,# UI,"1,6"
11,10,android.nowinandroid.md,# Baseline profiles,3
11,11,android.nowinandroid.md,# License,5
12,1,android.sunflower.md,# Android Sunflower with Compose,3
12,2,android.sunflower.md,## Screenshots,"3,8"
12,3,android.sunflower.md,## Features,1
12,4,android.sunflower.md,## Requirements,3
12,5,android.sunflower.md,### Unsplash API key,"3,6"
12,6,android.sunflower.md,## Android Studio IDE setup,"1,3"
12,7,android.sunflower.md,## Additional resources,6
12,8,android.sunflower.md,## Non-Goals,
12,9,android.sunflower.md,## Support,6
12,10,android.sunflower.md,## Third Party Content,
12,11,android.sunflower.md,## License,5
13,1,android.topeka.md,# Topeka for Android,1
13,2,android.topeka.md,### Introduction,1
13,3,android.topeka.md,### Screenshots,"3,8"
13,4,android.topeka.md,### Getting Started,3
13,5,android.topeka.md,### Support,6
13,6,android.topeka.md,### License,5
14,1,android.uamp.md,# Universal Android Music Player Sample,"1,3"
14,2,android.uamp.md,## Pre-requisites,3
14,3,android.uamp.md,## Getting Started,3
14,4,android.uamp.md,## Support,"6,7"
14,5,android.uamp.md,## Audio,"-,1"
14,6,android.uamp.md,## License,5
15,1,android10.Android-CleanArchitecture-Kotlin.md,# Android - Clean Architecture - Kotlin [![Build Status](https://travis-ci.org/android10/Android-CleanArchitecture-Kotlin.svg?branch=main)](https://travis-ci.org/android10/Android-CleanArchitecture-Kotlin) [![codecov](https://codecov.io/gh/android10/Android-CleanArchitecture-Kotlin/branch/main/graph/badge.svg?token=x1AtDcNuDv)](https://codecov.io/gh/android10/Android-CleanArchitecture-Kotlin),1
15,2,android10.Android-CleanArchitecture-Kotlin.md,## Blog post with implementation details explanation:,"3,6"
15,3,android10.Android-CleanArchitecture-Kotlin.md,## Android - Clean Architecture - Java:,6
15,4,android10.Android-CleanArchitecture-Kotlin.md,## Other material worth reading:,"-,1,6"
15,5,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,6,android10.Android-CleanArchitecture-Kotlin.md,## Sample app,3
15,7,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,8,android10.Android-CleanArchitecture-Kotlin.md,## Clean Architecture,6
15,9,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,10,android10.Android-CleanArchitecture-Kotlin.md,## Android 3 Layers Architecture,1
15,11,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,12,android10.Android-CleanArchitecture-Kotlin.md,## UI Layer: MVVM ,1
15,13,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,14,android10.Android-CleanArchitecture-Kotlin.md,## Data Layer: Repository ,1
15,15,android10.Android-CleanArchitecture-Kotlin.md,### ----------------------------------------------------------------------------------------------,-
15,16,android10.Android-CleanArchitecture-Kotlin.md,## Local Development,3
15,17,android10.Android-CleanArchitecture-Kotlin.md,## Discussions,6
15,18,android10.Android-CleanArchitecture-Kotlin.md,## License,5
16,1,androidx.androidx.md,# Android Jetpack,"1,6"
16,2,androidx.androidx.md,# Contribution Guide,7
16,3,androidx.androidx.md,## Code Review Etiquette,7
16,4,androidx.androidx.md,## Accepted Types of Contributions,7
16,5,androidx.androidx.md,## Checking Out the Code,3
16,6,androidx.androidx.md,### Continuous integration,3
16,7,androidx.androidx.md,## Password and Contributor Agreement before making a change,"5,7"
16,8,androidx.androidx.md,## Getting reviewed,3
16,9,androidx.androidx.md,## Handling binary dependencies,3
17,1,ankidroid.Anki-Android.md,# AnkiDroid,1
17,2,ankidroid.Anki-Android.md,### Features,"1,6"
17,3,ankidroid.Anki-Android.md,## Install,"-,3"
17,4,ankidroid.Anki-Android.md,## Wiki,6
17,5,ankidroid.Anki-Android.md,## Help,6
17,6,ankidroid.Anki-Android.md,## Contribute,7
17,7,ankidroid.Anki-Android.md,## Join Us On,"1,6"
17,8,ankidroid.Anki-Android.md,## Credits,5
17,9,ankidroid.Anki-Android.md,### Code Contributors,5
17,10,ankidroid.Anki-Android.md,### [Sponsors](https://opencollective.com/ankidroid#sponsor),"-,1,6"
17,11,ankidroid.Anki-Android.md,### [Backers](https://opencollective.com/ankidroid#backer),-
17,12,ankidroid.Anki-Android.md,### [Translators](https://crowdin.com/project/ankidroid/activity-stream),5
17,13,ankidroid.Anki-Android.md,## License,5
18,1,AppIntro.AppIntro.md,# AppIntro,1
18,2,AppIntro.AppIntro.md,## Getting Started 👣,-
18,3,AppIntro.AppIntro.md,### Adding a dependency,"3,6"
18,4,AppIntro.AppIntro.md,### Basic usage,3
18,5,AppIntro.AppIntro.md,### Java users,"3,6"
18,6,AppIntro.AppIntro.md,## Migrating 🚗,
18,7,AppIntro.AppIntro.md,## Features 🧰,-
18,8,AppIntro.AppIntro.md,## Creating Slides 👩‍🎨,6
18,9,AppIntro.AppIntro.md,### `AppIntroFragment`,
18,10,AppIntro.AppIntro.md,### `AppIntroCustomLayoutFragment`,"1,3"
18,11,AppIntro.AppIntro.md,## Configure 🎨,3
18,12,AppIntro.AppIntro.md,### Slide Transformer,3
18,13,AppIntro.AppIntro.md,#### Custom Slide Transformer,3
18,14,AppIntro.AppIntro.md,### Color Transition,"3,6"
18,15,AppIntro.AppIntro.md,### Multiple Windows Layout,3
18,16,AppIntro.AppIntro.md,### Indicators,3
18,17,AppIntro.AppIntro.md,### Vibration,3
18,18,AppIntro.AppIntro.md,### Wizard Mode,3
18,19,AppIntro.AppIntro.md,### Immersive Mode,3
18,20,AppIntro.AppIntro.md,### System Back button,3
18,21,AppIntro.AppIntro.md,### System UI (Status Bar and Navigation Bar),3
18,22,AppIntro.AppIntro.md,## Permission 🔒,3
18,23,AppIntro.AppIntro.md,### Slide Policy,3
18,24,AppIntro.AppIntro.md,## Example App 💡,3
18,25,AppIntro.AppIntro.md,## Translating 🌍,
18,26,AppIntro.AppIntro.md,## Snapshots 📦,-
18,27,AppIntro.AppIntro.md,## Contributing 🤝,7
18,28,AppIntro.AppIntro.md,## Acknowledgments 🌸,-
18,29,AppIntro.AppIntro.md,### Maintainers,5
18,30,AppIntro.AppIntro.md,### Libraries,"-,6"
18,31,AppIntro.AppIntro.md,## License 📄,"-,5"
18,32,AppIntro.AppIntro.md,## Apps using AppIntro 📱,"-,1"
19,1,arrow-kt.arrow.md,#### Curated external links,6
19,2,arrow-kt.arrow.md,## Arrow 2.0,3
19,3,arrow-kt.arrow.md,## Join Us,6
19,4,arrow-kt.arrow.md,## Setup,3
19,5,arrow-kt.arrow.md,### JDK,3
19,6,arrow-kt.arrow.md,### Android,"1,3"
19,7,arrow-kt.arrow.md,### Gradle,"-,6"
19,8,arrow-kt.arrow.md,#### Basic Setup,3
19,9,arrow-kt.arrow.md,##### Λrrow Core,-
19,10,arrow-kt.arrow.md,##### Λrrow Core + Λrrow Optics,-
19,11,arrow-kt.arrow.md,##### Λrrow Core + Λrrow Fx,-
19,12,arrow-kt.arrow.md,#### BOM file,3
19,13,arrow-kt.arrow.md,### Maven,3
19,14,arrow-kt.arrow.md,#### Basic Setup,3
19,15,arrow-kt.arrow.md,#### Enabling kapt for the Optics DSL,3
19,16,arrow-kt.arrow.md,#### BOM file,3
19,17,arrow-kt.arrow.md,## Next development version,"3,4"
19,18,arrow-kt.arrow.md,## License,5
20,1,bannedbook.fanqiang.md,# 翻墙-科学上网、翻墙工具、翻墙教程项目库,-
20,2,bannedbook.fanqiang.md,## [Windows V2ray/SS/SSR 翻墙教程](https://github.com/bannedbook/fanqiang/tree/master/windows),-
20,3,bannedbook.fanqiang.md,## [iPhone/iPad/iOS V2ray/SS 翻墙APP教程](https://github.com/bannedbook/fanqiang/tree/master/ios),-
20,4,bannedbook.fanqiang.md,## [Android 安卓翻墙APP教程](https://github.com/bannedbook/fanqiang/tree/master/android),-
20,5,bannedbook.fanqiang.md,## [Mac翻墙软件教程](https://github.com/bannedbook/fanqiang/tree/master/macos),-
20,6,bannedbook.fanqiang.md,## [路由器翻墙教程](https://github.com/bannedbook/fanqiang/tree/master/router),-
20,7,bannedbook.fanqiang.md,## [Linux翻墙教程](https://github.com/bannedbook/fanqiang/tree/master/linux),-
20,8,bannedbook.fanqiang.md,## ChromeGo - Chrome一键翻墙包 ,-
21,1,bennyhuo.Kotlin-Tutorials.md,# Kotlin-Tutorials,-
21,2,bennyhuo.Kotlin-Tutorials.md,## 内容清单,-
21,3,bennyhuo.Kotlin-Tutorials.md,## 联系我,-
21,4,bennyhuo.Kotlin-Tutorials.md,## * 微信公众号 **bennyhuo**,-
21,5,bennyhuo.Kotlin-Tutorials.md,## [《深入理解 Kotlin 协程》](https://www.bennyhuo.com/project/kotlin-coroutines.html) 2020.6 出版,-
21,6,bennyhuo.Kotlin-Tutorials.md,### 随书源码,-
21,7,bennyhuo.Kotlin-Tutorials.md,### 购买途径,-
21,8,bennyhuo.Kotlin-Tutorials.md,## [注解处理器开发教程](https://github.com/enbandari/Apt-Tutorials),-
21,9,bennyhuo.Kotlin-Tutorials.md,## [Kotlin 从入门到精通 视频教程](http://coding.imooc.com/class/398.html),-
21,10,bennyhuo.Kotlin-Tutorials.md,## [破解 Retrofit](https://www.imooc.com/learn/1128?mc_marking=5487b137ad904bd13590a053ede6da2f&mc_channel=syb19) ,-
21,11,bennyhuo.Kotlin-Tutorials.md,## [破解Android高级面试](https://s.imooc.com/SBS30PR),-
22,1,cashapp.sqldelight.md,# SQLDelight,3
22,2,cashapp.sqldelight.md,## ,-
22,3,cashapp.sqldelight.md,## Snapshots,3
22,4,cashapp.sqldelight.md,# License,5
23,1,chrisbanes.cheesesquare.md,# Cheesesquare Sample,
23,2,chrisbanes.cheesesquare.md,## Pre-requisites,3
23,3,chrisbanes.cheesesquare.md,## License,5
24,1,chrisbanes.tivi.md,# Tivi 📺 (work-in-progress 👷🔧️👷‍♀️⛏),
24,2,chrisbanes.tivi.md,## Download,3
24,3,chrisbanes.tivi.md,## Android development,"1,3"
24,4,chrisbanes.tivi.md,## Development setup,3
24,5,chrisbanes.tivi.md,### Code style,"1,6"
24,6,chrisbanes.tivi.md,### API keys,3
24,7,chrisbanes.tivi.md,## Jetpack Compose,6
24,8,chrisbanes.tivi.md,### Show details,3
24,9,chrisbanes.tivi.md,### Episode details,3
24,10,chrisbanes.tivi.md,### Account,3
24,11,chrisbanes.tivi.md,## Contributions,7
24,12,chrisbanes.tivi.md,## License,5
25,1,coil-kt.coil.md,## Download,3
25,2,coil-kt.coil.md,## Quick Start,3
25,3,coil-kt.coil.md,#### ImageViews,3
25,4,coil-kt.coil.md,#### Jetpack Compose,3
25,5,coil-kt.coil.md,#### Image Loaders,3
25,6,coil-kt.coil.md,#### Requests,3
25,7,coil-kt.coil.md,## Requirements,3
25,8,coil-kt.coil.md,## R8 / Proguard,3
25,9,coil-kt.coil.md,## License,5
26,1,corda.corda.md,# Corda,1
26,2,corda.corda.md,## Architecture Evolution,6
26,3,corda.corda.md,## Features,1
26,4,corda.corda.md,## Getting started,6
26,5,corda.corda.md,## Useful links,6
26,6,corda.corda.md,## Contributing,7
26,7,corda.corda.md,## License,5
26,8,corda.corda.md,## Acknowledgements,1
27,1,dbacinski.Design-Patterns-In-Kotlin.md,# Design Patterns In Kotlin,
27,2,dbacinski.Design-Patterns-In-Kotlin.md,#### :warning: New article about testing: [Unit Testing with Mockito 2](https://github.com/dbacinski/Android-Testing-With-Kotlin/blob/master/docs/Unit-Testing-Mockito.md),"1,6"
27,3,dbacinski.Design-Patterns-In-Kotlin.md,## Table of Contents,
27,4,dbacinski.Design-Patterns-In-Kotlin.md,# Behavioral,
27,5,dbacinski.Design-Patterns-In-Kotlin.md,## [Observer / Listener](/patterns/src/test/kotlin/Listener.kt),3
27,6,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,7,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,8,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,9,dbacinski.Design-Patterns-In-Kotlin.md,## [Strategy](/patterns/src/test/kotlin/Strategy.kt),
27,10,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,11,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,12,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,13,dbacinski.Design-Patterns-In-Kotlin.md,## [Command](/patterns/src/test/kotlin/Command.kt),3
27,14,dbacinski.Design-Patterns-In-Kotlin.md,#### Example:,3
27,15,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,16,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,17,dbacinski.Design-Patterns-In-Kotlin.md,## [State](/patterns/src/test/kotlin/State.kt),"3,4"
27,18,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,19,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,20,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,21,dbacinski.Design-Patterns-In-Kotlin.md,## [Chain of Responsibility](/patterns/src/test/kotlin/ChainOfResponsibility.kt),3
27,22,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,23,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,24,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,25,dbacinski.Design-Patterns-In-Kotlin.md,## [Visitor](/patterns/src/test/kotlin/Visitor.kt),1
27,26,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,27,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,28,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,29,dbacinski.Design-Patterns-In-Kotlin.md,## [Mediator](/patterns/src/test/kotlin/Mediator.kt),
27,30,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,31,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,32,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,33,dbacinski.Design-Patterns-In-Kotlin.md,## [Memento](/patterns/src/test/kotlin/Memento.kt),1
27,34,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,35,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,36,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,37,dbacinski.Design-Patterns-In-Kotlin.md,# Creational,1
27,38,dbacinski.Design-Patterns-In-Kotlin.md,## [Builder / Assembler](/patterns/src/test/kotlin/Builder.kt),3
27,39,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,40,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,41,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,42,dbacinski.Design-Patterns-In-Kotlin.md,## [Factory Method](/patterns/src/test/kotlin/FactoryMethod.kt),3
27,43,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,44,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,45,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,46,dbacinski.Design-Patterns-In-Kotlin.md,## [Singleton](/patterns/src/test/kotlin/Singleton.kt),
27,47,dbacinski.Design-Patterns-In-Kotlin.md,#### Example:,3
27,48,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,49,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,50,dbacinski.Design-Patterns-In-Kotlin.md,## [Abstract Factory](/patterns/src/test/kotlin/AbstractFactory.kt),3
27,51,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,52,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,53,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,54,dbacinski.Design-Patterns-In-Kotlin.md,# Structural,1
27,55,dbacinski.Design-Patterns-In-Kotlin.md,## [Adapter](/patterns/src/test/kotlin/Adapter.kt),3
27,56,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,57,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,58,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,59,dbacinski.Design-Patterns-In-Kotlin.md,## [Decorator](/patterns/src/test/kotlin/Decorator.kt),3
27,60,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,61,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,62,dbacinski.Design-Patterns-In-Kotlin.md,#### Output,3
27,63,dbacinski.Design-Patterns-In-Kotlin.md,## [Facade](/patterns/src/test/kotlin/Facade.kt),
27,64,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,65,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,66,dbacinski.Design-Patterns-In-Kotlin.md,#### Ouput,"-,3"
27,67,dbacinski.Design-Patterns-In-Kotlin.md,## [Protection Proxy](/patterns/src/test/kotlin/ProtectionProxy.kt),"3,6"
27,68,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,69,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,70,dbacinski.Design-Patterns-In-Kotlin.md,#### Ouput,"-,3"
27,71,dbacinski.Design-Patterns-In-Kotlin.md,## [Composite](/patterns/src/test/kotlin/Composite.kt),3
27,72,dbacinski.Design-Patterns-In-Kotlin.md,#### Example,3
27,73,dbacinski.Design-Patterns-In-Kotlin.md,#### Usage,3
27,74,dbacinski.Design-Patterns-In-Kotlin.md,#### Ouput,"-,3"
27,75,dbacinski.Design-Patterns-In-Kotlin.md,# Info,"-,6"
28,1,detekt.detekt.md,# detekt,1
28,2,detekt.detekt.md,### Features,"1,6"
28,3,detekt.detekt.md,#### Quick-Links,6
28,4,detekt.detekt.md,### Quick Start ...,3
28,5,detekt.detekt.md,#### with the command-line interface,"3,5"
28,6,detekt.detekt.md,#### with Gradle,
28,7,detekt.detekt.md,#### Requirements,3
28,8,detekt.detekt.md,### Adding more rule sets,
28,9,detekt.detekt.md,### Contributing,"5,7"
28,10,detekt.detekt.md,### Mentions,"1,6"
28,11,detekt.detekt.md,#### Credits,5
29,1,didi.booster.md,## Overview | 概览,1
29,2,didi.booster.md,## What can Booster be used for? | Booster 能做什么？,6
29,3,didi.booster.md,## Prerequisite | 先决条件,-
29,4,didi.booster.md,## Best Practise | 最佳实践,
29,5,didi.booster.md,### Common,3
29,6,didi.booster.md,### Performance,3
29,7,didi.booster.md,### Package Size,3
29,8,didi.booster.md,### System Bug,3
29,9,didi.booster.md,### Utility,"-,3"
29,10,didi.booster.md,### Unit Test,3
29,11,didi.booster.md,## Samples | 示例,-
29,12,didi.booster.md,## Documentation | 文档,6
29,13,didi.booster.md,## API Reference,6
29,14,didi.booster.md,## Contributing,7
29,15,didi.booster.md,## Community,1
29,16,didi.booster.md,## License,5
30,1,diogobernardino.williamchart.md,# williamchart ![phone][2]![watch][3],"-,1,6"
30,2,diogobernardino.williamchart.md,### Gradle ,"-,6"
30,3,diogobernardino.williamchart.md,### Usage,3
30,4,diogobernardino.williamchart.md,#### All charts,-
30,5,diogobernardino.williamchart.md,#### Line Chart,3
30,6,diogobernardino.williamchart.md,#### Bar Chart,
30,7,diogobernardino.williamchart.md,#### Donut Chart,-
30,8,diogobernardino.williamchart.md,## License,5
31,1,drakeet.MultiType.md,# MultiType,
31,2,drakeet.MultiType.md,## Getting started,3
31,3,drakeet.MultiType.md,## Usage,3
31,4,drakeet.MultiType.md,"#### Step 1. Create a Kotlin `class` or `data class`, for example:",3
31,5,drakeet.MultiType.md,"#### Step 2. Create a class extends `ItemViewDelegate<T, VH : ViewHolder>`, for example:",3
31,6,drakeet.MultiType.md,"##### Or if you are using a custom View instead of XML layout, you can use `ViewDelegate`:",3
31,7,drakeet.MultiType.md,"#### Step 3. `register` your types and setup your `RecyclerView`, for example:",3
31,8,drakeet.MultiType.md,## Advanced usage ,3
31,9,drakeet.MultiType.md,## Android Studio Plugin,"1,3"
31,10,drakeet.MultiType.md,## Screenshots,"3,8"
31,11,drakeet.MultiType.md,## License,5
32,1,ethereum-lists.chains.md,# EVM-based Chains,
32,2,ethereum-lists.chains.md,## Example,3
32,3,ethereum-lists.chains.md,## Aggregation,-
32,4,ethereum-lists.chains.md,## Constraints,3
32,5,ethereum-lists.chains.md,## Collision management,
32,6,ethereum-lists.chains.md,## Usages,3
32,7,ethereum-lists.chains.md,### Wallets,"-,1,6"
32,8,ethereum-lists.chains.md,### Explorers,"-,1,6"
32,9,ethereum-lists.chains.md,### EIPs,4
32,10,ethereum-lists.chains.md,### Listing sites,"-,1,6"
32,11,ethereum-lists.chains.md,### Other,5
33,1,facebook.facebook-android-sdk.md,# Facebook SDK for Android,"1,6"
33,2,facebook.facebook-android-sdk.md,## TRY IT OUT,6
33,3,facebook.facebook-android-sdk.md,## FEATURES,"1,6"
33,4,facebook.facebook-android-sdk.md,## STRUCTURE,3
33,5,facebook.facebook-android-sdk.md,## USAGE,3
33,6,facebook.facebook-android-sdk.md,## INSTALLATION,3
33,7,facebook.facebook-android-sdk.md,## GIVE FEEDBACK,"5,6"
33,8,facebook.facebook-android-sdk.md,## SECURITY,6
33,9,facebook.facebook-android-sdk.md,## CONTRIBUTING,7
33,10,facebook.facebook-android-sdk.md,## LICENSE,
33,11,facebook.facebook-android-sdk.md,## DEVELOPER TERMS,"3,6"
34,1,gedoor.legado.md,# [English](English.md) [中文](README.md),1
34,2,gedoor.legado.md,# Function-主要功能 [![](https://img.shields.io/badge/-Function-F5F5F5.svg)](#Function-主要功能-),-
34,3,gedoor.legado.md,# Download-下载 [![](https://img.shields.io/badge/-Download-F5F5F5.svg)](#Download-下载-),"-,3"
34,4,gedoor.legado.md,#### Android-安卓 ,-
34,5,gedoor.legado.md,#### IOS-苹果,-
34,6,gedoor.legado.md,# Community-交流社区 [![](https://img.shields.io/badge/-Community-F5F5F5.svg)](#Community-交流社区-),-
34,7,gedoor.legado.md,#### Telegram,"-,1,6"
34,8,gedoor.legado.md,#### Discord,"-,5"
34,9,gedoor.legado.md,#### Other,6
34,10,gedoor.legado.md,# API [![](https://img.shields.io/badge/-API-F5F5F5.svg)](#API-),"-,3"
34,11,gedoor.legado.md,# Other-其他 [![](https://img.shields.io/badge/-Other-F5F5F5.svg)](#Other-其他-),-
34,12,gedoor.legado.md,##### 免责声明,-
34,13,gedoor.legado.md,##### 阅读3.0,-
34,14,gedoor.legado.md,# Grateful-感谢 [![](https://img.shields.io/badge/-Grateful-F5F5F5.svg)](#Grateful-感谢-),-
34,15,gedoor.legado.md,# Interface-界面 [![](https://img.shields.io/badge/-Interface-F5F5F5.svg)](#Interface-界面-),-
35,1,google.accompanist.md,## Compose versions,"1,3,4"
35,2,google.accompanist.md,## Libraries,
35,3,google.accompanist.md,### 🍫 [System UI Controller](./systemuicontroller/),
35,4,google.accompanist.md,### 🎨 [AppCompat Theme Adapter](./themeadapter-appcompat/),-
